x,y
-1,1
-0.979798,0.970002
-0.959596,0.94061
-0.939394,0.911818
-0.919192,0.883619
-0.89899,0.856008
-0.878788,0.828978
-0.858586,0.802524
-0.838384,0.776638
-0.818182,0.751315
-0.79798,0.726548
-0.777778,0.702332
-0.757576,0.67866
-0.737374,0.655526
-0.717172,0.632923
-0.69697,0.610847
-0.676768,0.589289
-0.656566,0.568245
-0.636364,0.547708
-0.616162,0.527672
-0.59596,0.508131
-0.575758,0.489078
-0.555556,0.470508
-0.535354,0.452413
-0.515152,0.434789
-0.494949,0.417628
-0.474747,0.400925
-0.454545,0.384673
-0.434343,0.368867
-0.414141,0.353499
-0.393939,0.338565
-0.373737,0.324057
-0.353535,0.309969
-0.333333,0.296296
-0.313131,0.283031
-0.292929,0.270168
-0.272727,0.257701
-0.252525,0.245623
-0.232323,0.233929
-0.212121,0.222612
-0.191919,0.211666
-0.171717,0.201084
-0.151515,0.190862
-0.131313,0.180992
-0.111111,0.171468
-0.0909091,0.162284
-0.0707071,0.153434
-0.0505051,0.144912
-0.030303,0.136711
-0.010101,0.128826
0.010101,0.12125
0.030303,0.113977
0.0505051,0.107001
0.0707071,0.100315
0.0909091,0.0939144
0.111111,0.0877915
0.131313,0.0819407
0.151515,0.0763558
0.171717,0.0710307
0.191919,0.065959
0.212121,0.0611348
0.232323,0.0565516
0.252525,0.0522035
0.272727,0.0480841
0.292929,0.0441874
0.313131,0.0405071
0.333333,0.037037
0.353535,0.033771
0.373737,0.0307029
0.393939,0.0278265
0.414141,0.0251356
0.434343,0.022624
0.454545,0.0202855
0.474747,0.018114
0.494949,0.0161033
0.515152,0.0142472
0.535354,0.0125394
0.555556,0.0109739
0.575758,0.00954448
0.59596,0.00824488
0.616162,0.00706896
0.636364,0.00601052
0.656566,0.00506339
0.676768,0.00422138
0.69697,0.00347831
0.717172,0.00282799
0.737374,0.00226425
0.757576,0.00178089
0.777778,0.00137174
0.79798,0.00103061
0.818182,0.000751315
0.838384,0.000527672
0.858586,0.000353499
0.878788,0.000222612
0.89899,0.000128826
0.919192,6.5959e-05
0.939394,2.78265e-05
0.959596,8.24488e-06
0.979798,1.03061e-06
1,0
-1,0
-0.979798,0.0296939
-0.959596,0.0581821
-0.939394,0.0854829
-0.919192,0.111615
-0.89899,0.136597
-0.878788,0.160447
-0.858586,0.183185
-0.838384,0.204828
-0.818182,0.225394
-0.79798,0.244904
-0.777778,0.263374
-0.757576,0.280825
-0.737374,0.297273
-0.717172,0.312739
-0.69697,0.327239
-0.676768,0.340794
-0.656566,0.353421
-0.636364,0.365139
-0.616162,0.375967
-0.59596,0.385922
-0.575758,0.395025
-0.555556,0.403292
-0.535354,0.410743
-0.515152,0.417397
-0.494949,0.423272
-0.474747,0.428385
-0.454545,0.432757
-0.434343,0.436406
-0.414141,0.439349
-0.393939,0.441606
-0.373737,0.443195
-0.353535,0.444135
-0.333333,0.444444
-0.313131,0.444141
-0.292929,0.443245
-0.272727,0.441773
-0.252525,0.439745
-0.232323,0.437179
-0.212121,0.434093
-0.191919,0.430506
-0.171717,0.426438
-0.151515,0.421905
-0.131313,0.416927
-0.111111,0.411523
-0.0909091,0.40571
-0.0707071,0.399508
-0.0505051,0.392935
-0.030303,0.386009
-0.010101,0.378749
0.010101,0.371174
0.030303,0.363302
0.0505051,0.355152
0.0707071,0.346743
0.0909091,0.338092
0.111111,0.329218
0.131313,0.32014
0.151515,0.310877
0.171717,0.301447
0.191919,0.291869
0.212121,0.28216
0.232323,0.272341
0.252525,0.262428
0.272727,0.252442
0.292929,0.2424
0.313131,0.23232
0.333333,0.222222
0.353535,0.212124
0.373737,0.202045
0.393939,0.192003
0.414141,0.182016
0.434343,0.172104
0.454545,0.162284
0.474747,0.152576
0.494949,0.142997
0.515152,0.133567
0.535354,0.124304
0.555556,0.115226
0.575758,0.106353
0.59596,0.0977018
0.616162,0.0892921
0.636364,0.081142
0.656566,0.0732702
0.676768,0.0656952
0.69697,0.0584356
0.717172,0.0515099
0.737374,0.0449367
0.757576,0.0387345
0.777778,0.0329218
0.79798,0.0275173
0.818182,0.0225394
0.838384,0.0180068
0.858586,0.013938
0.878788,0.0103514
0.89899,0.0072658
0.919192,0.00469958
0.939394,0.00267134
0.959596,0.00119963
0.979798,0.000302999
1,0
-1,0
-0.979798,0.000302999
-0.959596,0.00119963
-0.939394,0.00267134
-0.919192,0.00469958
-0.89899,0.0072658
-0.878788,0.0103514
-0.858586,0.013938
-0.838384,0.0180068
-0.818182,0.0225394
-0.79798,0.0275173
-0.777778,0.0329218
-0.757576,0.0387345
-0.737374,0.0449367
-0.717172,0.0515099
-0.69697,0.0584356
-0.676768,0.0656952
-0.656566,0.0732702
-0.636364,0.081142
-0.616162,0.0892921
-0.59596,0.0977018
-0.575758,0.106353
-0.555556,0.115226
-0.535354,0.124304
-0.515152,0.133567
-0.494949,0.142997
-0.474747,0.152576
-0.454545,0.162284
-0.434343,0.172104
-0.414141,0.182016
-0.393939,0.192003
-0.373737,0.202045
-0.353535,0.212124
-0.333333,0.222222
-0.313131,0.23232
-0.292929,0.2424
-0.272727,0.252442
-0.252525,0.262428
-0.232323,0.272341
-0.212121,0.28216
-0.191919,0.291869
-0.171717,0.301447
-0.151515,0.310877
-0.131313,0.32014
-0.111111,0.329218
-0.0909091,0.338092
-0.0707071,0.346743
-0.0505051,0.355152
-0.030303,0.363302
-0.010101,0.371174
0.010101,0.378749
0.030303,0.386009
0.0505051,0.392935
0.0707071,0.399508
0.0909091,0.40571
0.111111,0.411523
0.131313,0.416927
0.151515,0.421905
0.171717,0.426438
0.191919,0.430506
0.212121,0.434093
0.232323,0.437179
0.252525,0.439745
0.272727,0.441773
0.292929,0.443245
0.313131,0.444141
0.333333,0.444444
0.353535,0.444135
0.373737,0.443195
0.393939,0.441606
0.414141,0.439349
0.434343,0.436406
0.454545,0.432757
0.474747,0.428385
0.494949,0.423272
0.515152,0.417397
0.535354,0.410743
0.555556,0.403292
0.575758,0.395025
0.59596,0.385922
0.616162,0.375967
0.636364,0.365139
0.656566,0.353421
0.676768,0.340794
0.69697,0.327239
0.717172,0.312739
0.737374,0.297273
0.757576,0.280825
0.777778,0.263374
0.79798,0.244904
0.818182,0.225394
0.838384,0.204828
0.858586,0.183185
0.878788,0.160447
0.89899,0.136597
0.919192,0.111615
0.939394,0.0854829
0.959596,0.0581821
0.979798,0.0296939
1,0
-1,0
-0.979798,1.03061e-06
-0.959596,8.24488e-06
-0.939394,2.78265e-05
-0.919192,6.5959e-05
-0.89899,0.000128826
-0.878788,0.000222612
-0.858586,0.000353499
-0.838384,0.000527672
-0.818182,0.000751315
-0.79798,0.00103061
-0.777778,0.00137174
-0.757576,0.00178089
-0.737374,0.00226425
-0.717172,0.00282799
-0.69697,0.00347831
-0.676768,0.00422138
-0.656566,0.00506339
-0.636364,0.00601052
-0.616162,0.00706896
-0.59596,0.00824488
-0.575758,0.00954448
-0.555556,0.0109739
-0.535354,0.0125394
-0.515152,0.0142472
-0.494949,0.0161033
-0.474747,0.018114
-0.454545,0.0202855
-0.434343,0.022624
-0.414141,0.0251356
-0.393939,0.0278265
-0.373737,0.0307029
-0.353535,0.033771
-0.333333,0.037037
-0.313131,0.0405071
-0.292929,0.0441874
-0.272727,0.0480841
-0.252525,0.0522035
-0.232323,0.0565516
-0.212121,0.0611348
-0.191919,0.065959
-0.171717,0.0710307
-0.151515,0.0763558
-0.131313,0.0819407
-0.111111,0.0877915
-0.0909091,0.0939144
-0.0707071,0.100315
-0.0505051,0.107001
-0.030303,0.113977
-0.010101,0.12125
0.010101,0.128826
0.030303,0.136711
0.0505051,0.144912
0.0707071,0.153434
0.0909091,0.162284
0.111111,0.171468
0.131313,0.180992
0.151515,0.190862
0.171717,0.201084
0.191919,0.211666
0.212121,0.222612
0.232323,0.233929
0.252525,0.245623
0.272727,0.257701
0.292929,0.270168
0.313131,0.283031
0.333333,0.296296
0.353535,0.309969
0.373737,0.324057
0.393939,0.338565
0.414141,0.353499
0.434343,0.368867
0.454545,0.384673
0.474747,0.400925
0.494949,0.417628
0.515152,0.434789
0.535354,0.452413
0.555556,0.470508
0.575758,0.489078
0.59596,0.508131
0.616162,0.527672
0.636364,0.547708
0.656566,0.568245
0.676768,0.589289
0.69697,0.610847
0.717172,0.632923
0.737374,0.655526
0.757576,0.67866
0.777778,0.702332
0.79798,0.726548
0.818182,0.751315
0.838384,0.776638
0.858586,0.802524
0.878788,0.828978
0.89899,0.856008
0.919192,0.883619
0.939394,0.911818
0.959596,0.94061
0.979798,0.970002
1,1
